Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
65,CCAFS,Nusantara Satu,"4,850 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,22 February 2019,01:45,F9 B5B1048.3,Success
66,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,2 March 2019,07:49,F9 B5[268],Success
67,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,"<a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a>",Success,4 May 2019,06:48,F9 B5,Success
68,CCAFS,Starlink,"13,620 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,24 May 2019,02:30,F9 B5B1049.3,Success
69,VAFB,RADARSAT Constellation,"4,200 kg",SSO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>",Success,12 June 2019,14:17,F9 B5B1051.2,Success
70,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>",Success,25 July 2019,22:01,F9 B5B1056.2,Success
71,CCAFS,AMOS-17,"6,500 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,6 August 2019,23:23,F9 B5B1047.3,Success
72,CCAFS,Starlink,"15,600 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a>",Success,11 November 2019,14:56,F9 B5,Success
73,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,5 December 2019,17:29,F9 B5,Success
74,CCAFS,JCSat-18,"6,956 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,17 December 2019,00:10,F9 B5B1056.3,Success
75,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,7 January 2020,02:19:21,F9 B5,Success
76,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,19 January 2020,15:30,F9 B5,Success
77,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,29 January 2020,14:07,F9 B5,Success
78,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,17 February 2020,15:05,F9 B5,Success
79,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,7 March 2020,04:50,F9 B5,Success
80,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,18 March 2020,12:16,F9 B5,Success
81,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,22 April 2020,19:30,F9 B5,Success
82,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,30 May 2020,19:22,F9 B5,Success
83,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>",Success,4 June 2020,01:25,F9 B5,Success
84,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>",Success,13 June 2020,09:21,F9 B5,Success
85,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,30 June 2020,20:10:46,F9 B5,Success
86,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,20 July 2020,21:30,F9 B5B1058.2,Success
87,KSC,Starlink,"14,932 kg",LEO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>",Success,7 August 2020,05:12,F9 B5,Success
88,CCAFS,Starlink,"~15,440 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,18 August 2020,14:31,F9 B5B1049.6,Success
89,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,30 August 2020,23:18,F9 B5,Success
90,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,3 September 2020,12:46:14,F9 B5B1060.2,Success
91,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,6 October 2020,11:29:34,F9 B5B1058.3,Success
92,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>",Success,18 October 2020,12:25:57,F9 B5B1051.6,Success
93,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,24 October 2020,15:31:34,F9 B5,Success
94,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,5 November 2020,23:24:23,F9 B5,Success
95,KSC,Crew-1,"~12,500 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,16 November 2020,00:27,F9 B5,Success
96,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,21 November 2020,17:17:08,F9 B5,Success
97,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>",Success,25 November 2020,02:13,F9 B5 ♺,Success
98,KSC,SpaceX CRS-21,"2,972 kg",LEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>",Success,6 December 2020,16:17:08,F9 B5 ♺,Success
99,CCSFSSLC-40,SXM-7,"7,000 kg",GTO,"<a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>",Success,13 December 2020,17:30:00,F9 B5 ♺,Success
100,KSC,NROL-108,C,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,19 December 2020,14:00:00,F9 B5 ♺,Success
101,CCSFS,Türksat 5A,"3,500 kg",GTO,,Success,8 January 2021,02:15,F9 B5,Success
102,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,20 January 2021,13:02,F9 B5B1051.8,Success
103,CCSFS,Transporter-1,"~5,000 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,24 January 2021,15:00,F9 B5B1058.5,Success
104,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,4 February 2021,06:19,F9 B5 ♺,Success
105,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,16 February 2021,03:59:37,F9 B5 ♺,Success
106,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,4 March 2021,08:24,F9 B5 ♺,Success
107,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,11 March 2021,08:13:29,F9 B5 ♺,Success
108,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,14 March 2021,10:01,F9 B5 ♺,Success
109,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,24 March 2021,08:28,F9 B5B1060.6,Success
110,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,7 April 2021,16:34,F9 B5 ♺,Success
111,KSC,Crew-2,"~13,000 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,23 April 2021,9:49,F9 B5B1061.2,Success
112,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,29 April 2021,03:44,F9 B5B1060.7,Success
113,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,4 May 2021,19:01,F9 B5B1049.9,Success
114,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>",Success,9 May 2021,06:42,F9 B5B1051.10,Success
115,KSCLC-39A,Starlink,"~14,000 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,15 May 2021,22:56,F9 B5B1058.8,Success
116,CCSFSSLC-40,Starlink,"15,600 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>",Success,26 May 2021,18:59,F9 B5B1063.2,Success
117,KSC,SpaceX CRS-22,"3,328 kg",LEO,SpaceX,Success,3 June 2021,17:29,F9 B5B1067.1,Success
118,CCSFS,SXM-8,"7,000 kg",GTO,NASA,Success,6 June 2021,04:26,F9 B5,Success
119,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
120,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,4 June 2010,18:45,F9 v1.0B0003.1,Success
121,CCAFS,Dragon,0,LEO,NASA,Success,8 December 2010,15:43,F9 v1.0B0004.1,Success
1,CCAFS,Dragon,525 kg,LEO,MDA,Success,22 May 2012,07:44,F9 v1.0B0005.1,Success
1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,SES,Success,8 October 2012,00:35,F9 v1.0B0006.1,Success
